Rule ID;;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Access to parallel computing;1;;Production use case;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Number of kernels used;1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Usage of one-hot encoding for cat. features;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Dataset balance;1;Ratio positive to negative targets;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG (Gradient based);SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;Fabolas;BOHB;HB-LCNet;;18;;;;
;;0,0370;27;0,0323;31;0,1429;7;0,1429;7;0,1429;7;0,0152;66;;0,0175;57;;0,0145;69;0,0286;35;0,0119;84;0,0086;116;;0,0085;117;0,0323;31;0,0270;37;0,0270;37;0,0082;122;0,0086;116;0,0078;128;1,0000;1;0,2000;5;;;105;0,0114;88;0,0120;83;0,0526;19;0,0588;17;0,0500;20;0,0086;116;0,0086;116;0,0105;95;;12,47;7,61;2,58;8,13;6,31;1,78;24,50;17,95;22,34;2,23;9,34;3,19;3,83;10,98;5,35;4,23;19,22;2,94;;;;;;
50;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;200.0:2000;0,00862;;XGBoost;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Regression;0,00862;Time Series Prediction;0,01053;50;;0,33333;;;;;0,33333;0,33333;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;>2000;0,00862;;XGBoost;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Regression;0,00862;Time Series Prediction;0,01053;51;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;
52;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;1.0:2000;0,00862;;Random Forest;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00820;no;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Regression;0,00862;Time Series Prediction;0,01053;52;;;;;;;1,00000;;;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;2000.0:5000;0,00862;;Random Forest;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00820;no;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Regression;0,00862;Time Series Prediction;0,01053;53;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;5000.0:10000;0,00862;;Random Forest;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00820;no;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Regression;0,00862;Time Series Prediction;0,01053;54;;;;;;;1,00000;;;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;;Process Parameter Prediction;0,01754;;;;;;1;0,01190;>10000;0,00862;;Random Forest;0,00855;;;;;no categorical features;0,02703;4.0:10;0,00820;no;0,00862;[continuous, nominal];0,00781;;;;;;Tabular Data;0,00952;>100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Regression;0,00862;Time Series Prediction;0,01053;55;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;
56;;;;;;;;;;;;;;;;;;<2;0,01449;36000;0,02857;1;0,01190;1.0:72000;0,00862;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;yes;0,02703;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Text Data;0,00952;;;;;;;;;;;Offline;0,00862;Text;0,00862;Text;0,01053;56;;;;;;;;;1,00000;;;;;;;;;;;;Eggensperger2015;;;
57;;;;;;;;;;;;;;;;;;2.0:10;0,01449;36000;0,02857;1;0,01190;72000.0:360000;0,00862;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;yes;0,02703;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Text Data;0,00952;;;;;;;;;;;Offline;0,00862;Text;0,00862;Text;0,01053;57;;;;;;;0,50000;;0,50000;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;;;;>10;0,01449;36000;0,02857;1;0,01190;>360000;0,00862;;Latent Dirichlet Allocation (HPOlib);0,00855;;;;;yes;0,02703;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Text Data;0,00952;;;;;;;;;;;Offline;0,00862;Text;0,00862;Text;0,01053;58;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;
59;;;;;;;;;;;;;;;;;;<2;0,01449;60;0,02857;1;0,01190;1.0:120;0,00862;;Logistic Regression;0,00855;;;;;yes;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;59;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;;2.0:50;0,01449;60;0,02857;1;0,01190;120.0:3000;0,00862;;Logistic Regression;0,00855;;;;;yes;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;60;;;;;;;;;1,00000;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;;;;;>50;0,01449;60;0,02857;1;0,01190;>3000;0,00862;;Logistic Regression;0,00855;;;;;yes;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;61;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;
62;;;;;;;;;;;;;;;;;;<10;0,01449;60;0,02857;1;0,01190;1.0:600;0,00862;;Logistic Regression;0,00855;;;;;yes;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;62;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;;;;;10.0:100;0,01449;60;0,02857;1;0,01190;600.0:6000;0,00862;;Logistic Regression;0,00855;;;;;yes;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;63;;;;;;;;;1,00000;;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;;;;;>100;0,01449;60;0,02857;1;0,01190;>6000;0,00862;;Logistic Regression;0,00855;;;;;yes;0,02703;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;64;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;
65;;;;;;;;;;;;yes;0,01515;;;;;<2;0,01449;720;0,02857;2;0,01190;1.0:2880;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;65;;;;;;;1,00000;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;yes;0,01515;;;;;2.0:20;0,01449;720;0,02857;2;0,01190;2880.0:28800;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;66;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
67;;;;;;;;;;;;yes;0,01515;;;;;20.0:200;0,01449;720;0,02857;2;0,01190;28800.0:288000;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;67;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;
68;;;;;;;;;;;;yes;0,01515;;;;;<10;0,01449;720;0,02857;2;0,01190;1.0:14400;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;68;;;;;;;1,00000;;;;;;;;;;;;;;;;;
69;;;;;;;;;;;;yes;0,01515;;;;;10.0:100;0,01449;720;0,02857;2;0,01190;14400.0:144000;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;69;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;yes;0,01515;;;;;100.0:500;0,01449;720;0,02857;2;0,01190;14400.0:720000;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;70;;;;;;;1,00000;;;;;;;;;;;;;;;;;
71;;;;;;;;;;;;yes;0,01515;;;;;<2;0,01449;720;0,02857;2;0,01190;1.0:2880;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;71;;;;;;;1,00000;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;yes;0,01515;;;;;2.0:50;0,01449;720;0,02857;2;0,01190;2880.0:72000;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;72;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
73;;;;;;;;;;;;yes;0,01515;;;;;50.0:200;0,01449;720;0,02857;2;0,01190;72000.0:288000;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;73;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;
74;;;;;;;;;;;;yes;0,01515;;;;;<5;0,01449;720;0,02857;2;0,01190;1.0:7200;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;74;;;;;;;1,00000;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;yes;0,01515;;;;;5.0:50;0,01449;720;0,02857;2;0,01190;7200.0:72000;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;75;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;yes;0,01515;;;;;50.0:500;0,01449;720;0,02857;2;0,01190;72000.0:720000;0,00862;;Multilayer Perceptron;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;76;;;;;;;1,00000;;;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;;;;;<5;0,01449;;;;;;;;Deep Neural Net;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;77;;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;;;;;2.0:50;0,01449;;;;;;;;Deep Neural Net;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;78;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;;;;50.0:200;0,01449;;;;;;;;Deep Neural Net;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;79;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;;<10;0,01449;;;;;;;;Deep Neural Net;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;80;;;;;;;0,33333;0,33333;0,33333;;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;;;;;10.0:200;0,01449;;;;;;;;Deep Neural Net;0,00855;;;;;yes;0,02703;>10;0,00820;yes;0,00862;[continuous, discrete, nominal];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;<1;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;81;;;;;;;0,50000;0,50000;;;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1.0:10;0,00862;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Image Data;0,00952;;;;;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;82;;;;;;;;;;;;;;0,33333;;0,33333;0,33333;;;;Falkner2018;;;
83;;;;;;;;;;;;;;;;;;;;;;1;0,01190;10.0:40;0,00862;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Image Data;0,00952;;;;;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;83;;;;;;;;;;;;;;;;1,00000;;;;;;;;
84;;;;;;;;;;;;;;;;;;;;;;1;0,01190;40.0:100;0,00862;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Image Data;0,00952;;;;;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;84;;;;;;;;;;;;;;0,50000;;0,50000;;;;;;;;
85;;;;;;;;;;;;;;;;;;;;;;1;0,01190;100.0:400;0,00862;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Image Data;0,00952;;;;;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;85;;;;;;;;;;;;;;0,33333;;0,33333;0,33333;;;;;;;
86;;;;;;;;;;;;;;;;;;;;;;1;0,01190;400.0:50000;0,00862;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Image Data;0,00952;;;;;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;86;;;;;;;;;;0,25000;;;;0,25000;;0,25000;0,25000;;;;;;;
87;;;;;;;;;;;;;;;;;;;;;;1;0,01190;50000.0:500000;0,00862;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Image Data;0,00952;;;;;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;87;;;;;;;;;0,20000;0,20000;;;;0,20000;;0,20000;0,20000;;;;;;;
88;;;;;;;;;;;;;;;;;;;;;;1;0,01190;>500000;0,00862;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;Image Data;0,00952;;;;;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;88;;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;0,05882;;all;;;;
89;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1.0:4000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;;;;;;;;;;;Offline;0,00862;Binary Classification;0,00862;;;89;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;1;0,01190;4000.0:100000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;;;;;;;;;;;Offline;0,00862;Binary Classification;0,00862;;;90;;;;;;;;;;;;;;;;;1,00000;;;;;;;
91;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1.0:10000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;;;;;;;;;;;Offline;0,00862;Binary Classification;0,00862;;;91;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;1;0,01190;10000.0:100000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;;;;;;;;;;;Offline;0,00862;Binary Classification;0,00862;;;92;;;;;;;;;;;;;;;;;1,00000;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1.0:100;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;93;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;;;
94;;;;;;;;;;;;;;;;;;;;;;1;0,01190;100.0:2000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;94;;;;;;;;;;;;;;;;;1,00000;;;;;;;
95;;;;;;;;;;;;;;;;;;;;;;1;0,01190;2000.0:20000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;95;;;;;;;;;0,50000;;;;;;;;0,50000;;;;;;;
96;;;;;;;;;;;;;;;;;;;;;;1;0,01190;20000.0:40000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;96;;;;;;;;0,33333;0,33333;;;;;;;;0,33333;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1.0:4000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;97;;;;;;;;;;;;;;0,50000;;;0,50000;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;;1;0,01190;4000.0:100000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;>4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;98;;;;;;;;0,33333;0,33333;;;;;;;;0,33333;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1.0:1000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;99;;;;;;;;;;;;;;0,33333;;;0,33333;0,33333;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1000.0:10000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Image Data;0,00952;1000.0:100000;0,01136;1.0:4;0,01205;;;;;;;Offline;0,00862;Multiclass Classification;0,00862;Image Recognition;0,01053;100;;;;;;;;;;;;;;;;;1,00000;;;;;;;
101;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1.0:1000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;;;;;;;;;;;Offline;0,00862;Binary Classification;0,00862;;;101;;;;;;;;;;;;;;0,33000;;;0,33000;0,33000;;;;;;
102;;;;;;;;;;;;;;;;;;;;;;1;0,01190;1000.0:100000;0,00862;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;Tabular Data;0,00952;;;;;;;;;;;Offline;0,00862;Binary Classification;0,00862;;;102;;;;;;;;;;;;;;;;;1,00000;;;;;;;
103;;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;;;;;;;;;;;no;0,05000;Offline;0,00862;Multiclass Classification;0,00862;;;103;;;;;;;;;1,00000;;;;;;;;;;;;Klein2019;;;
104;;;;;;;;;;;;;;;;;;<40;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;;;;;;;;;;;yes;0,05000;Offline;0,00862;Multiclass Classification;0,00862;;;104;;;;;;;;;1,00000;;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;;40.0:100;0,01449;;;;;;;;Support Vector Machine;0,00855;;;;;;;1.0:3;0,00820;no;0,00862;[continuous];0,00781;;;;;;;;;;;;;;;;yes;0,05000;Offline;0,00862;Multiclass Classification;0,00862;;;105;;;;;;;;;;;1,00000;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;<50;0,01449;;;;;;;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;;;;;;;;;;;no;0,05000;Offline;0,00862;Multiclass Classification;0,00862;;;106;;;;;;;;;;;1,00000;;;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;;50.0:100;0,01449;;;;;;;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;;;;;;;;;;;no;0,05000;Offline;0,00862;Multiclass Classification;0,00862;;;107;;;;;;;;;1,00000;;;;;;;;;;;;;;;
108;;;;;;;;;;;;;;;;;;<100;0,01449;;;;;;;;Multilayer Perceptron;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;;;;;;;;;;;yes;0,05000;Offline;0,00862;Multiclass Classification;0,00862;;;108;;;;;;;;;;;1,00000;;;;;;;;;;;;;
109;;;;;;;;;;;;;;;;;;<30;0,01449;;;;;;;;XGBoost;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;;;;;;;;;;;no;0,05000;Offline;0,00862;Regression;0,00862;;;109;;;;;;;;;;;1,00000;;;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;;30.0:100;0,01449;;;;;;;;XGBoost;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;;;;;;;;;;;no;0,05000;Offline;0,00862;Regression;0,00862;;;110;;;;;;;;;1,00000;;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;;;;;<30;0,01449;;;;;;;;XGBoost;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;;;;;;;;;;;yes;0,05000;Offline;0,00862;Regression;0,00862;;;111;;;;;;;;;;;1,00000;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;30.0:100;0,01449;;;;;;;;XGBoost;0,00855;;;;;;;4.0:10;0,00820;no;0,00862;[continuous, discrete];0,00781;;;;;;;;;;;;;;;;yes;0,05000;Offline;0,00862;Regression;0,00862;;;112;;;;;;;;;1,00000;;;;;;;;;;;;;;;
